VRTNJA	STATUS	ULOG	DOBITAK
0	1000	5	0
1	995	5	0
2	990	5	0
3	985	5	0
4	1005	5	25
5	1005	5	5
6	955	50	0
7	955	50	50
8	905	50	0
9	905	50	50
10	905	50	50
11	855	50	0
12	855	50	50
13	855	50	50
14	805	50	0
15	805	50	50
16	805	50	50
17	805	50	50
18	805	50	50
19	755	50	0
20	755	50	50
21	705	50	0
22	655	50	0
23	605	50	0
24	605	50	50
25	555	50	0
26	505	50	0
27	505	50	50
28	455	50	0
29	405	50	0
30	405	50	50
31	405	50	50
32	355	50	0
33	355	50	50
34	355	50	50
35	905	50	600
36	905	50	50
37	855	50	0
38	805	50	0
39	755	50	0
40	705	50	0
41	805	50	150
42	805	50	50
43	805	50	50
44	755	50	0
45	755	50	50
46	705	50	0
47	655	50	0
48	605	50	0
49	605	50	50
50	555	50	0
51	555	50	50
52	555	50	50
53	555	50	50
54	555	50	50
55	555	50	50
56	555	50	50
57	505	50	0
ISPLACENO:505
NAJVECI DOBITAK:600
